m,n,k,freq_mhz,sm_count,gflop,latency_ms,power_w,energy_mj,gflops,throttled
4096,16384,16384,1410,54,2199.023,14.743722279866537,332.2132727272727,4.898,149149.8,False
4096,16384,16384,1410,81,2199.023,10.112682978312174,397.984,4.025,217452.0,False
4096,16384,16384,1410,108,2199.023,7.794517517089844,384.78799999999995,2.999,282124.4,False
8192,4096,4096,300,14,274.878,41.095680236816406,58.102909090909094,2.388,6688.7,False
8192,4096,4096,300,27,274.878,18.393258412679035,65.83436363636363,1.211,14944.5,False
8192,4096,4096,300,54,274.878,8.989184061686197,79.83039999999998,0.718,30578.7,False
8192,4096,4096,300,81,274.878,6.170282363891602,91.7874,0.566,44548.7,False
8192,4096,4096,300,108,274.878,4.748799959818522,98.7793,0.469,57883.7,False
8192,4096,4096,510,14,274.878,24.16503397623698,63.764363636363626,1.541,11375.0,False
8192,4096,4096,510,27,274.878,10.832555135091146,77.26820000000001,0.837,25375.2,False
8192,4096,4096,510,54,274.878,5.3000532786051435,98.8149,0.524,51863.2,False
8192,4096,4096,510,81,274.878,3.6365652084350586,119.81009999999999,0.436,75587.2,False
8192,4096,4096,510,108,274.878,2.7997865676879883,132.13739999999999,0.37,98178.2,False
8192,4096,4096,705,14,274.878,17.491626739501953,70.217,1.228,15714.8,False
8192,4096,4096,705,27,274.878,7.843498865763347,88.9854,0.698,35045.3,False
8192,4096,4096,705,54,274.878,3.841024080912272,116.47380000000001,0.447,71563.7,False
8192,4096,4096,705,81,274.878,2.6362880071004233,141.70739999999998,0.374,104267.0,False
8192,4096,4096,705,108,274.878,2.0305919647216797,167.8936,0.341,135368.4,False
8192,4096,4096,900,14,274.878,13.705387115478516,75.8068,1.039,20056.2,False
8192,4096,4096,900,27,274.878,6.146730422973633,100.9114,0.62,44719.4,False
8192,4096,4096,900,54,274.878,3.011413256327311,131.66339999999997,0.396,91278.7,False
8192,4096,4096,900,81,274.878,2.066773255666097,177.0653,0.366,132998.6,False
8192,4096,4096,900,108,274.878,1.5924906730651855,208.75609999999998,0.332,172608.8,False
8192,4096,4096,1200,14,274.878,10.275840123494467,99.06779999999999,1.018,26749.9,False
8192,4096,4096,1200,27,274.878,4.614997227986653,136.7659,0.631,59561.9,False
8192,4096,4096,1200,54,274.878,2.270378589630127,190.75199999999998,0.433,121071.4,False
8192,4096,4096,1200,81,274.878,1.55511474609375,257.49719999999996,0.4,176757.3,False
8192,4096,4096,1200,108,274.878,1.1989333629608154,286.6782,0.344,229268.7,False
8192,4096,4096,1410,14,274.878,8.760661443074545,136.45229999999998,1.195,31376.4,False
8192,4096,4096,1410,27,274.878,3.9342079162597656,201.3863,0.792,69868.7,False
8192,4096,4096,1410,54,274.878,1.9292160669962566,323.6916,0.624,142481.7,False
8192,4096,4096,1410,81,274.878,1.3264213403065999,386.84970000000004,0.513,207232.7,False
8192,4096,4096,1410,108,274.878,1.0222933292388916,396.8524,0.406,268883.6,False
8192,8192,8192,300,14,1099.512,156.8143310546875,58.86409090909091,9.231,7011.6,False
8192,8192,8192,300,27,1099.512,72.47837829589844,69.19554545454545,5.015,15170.2,False
8192,8192,8192,300,54,1099.512,35.02660369873047,81.06172727272728,2.839,31390.8,False
8192,8192,8192,300,81,1099.512,23.97644805908203,92.94727272727273,2.229,45858.0,False
8192,8192,8192,300,108,1099.512,17.555967966715496,106.16760000000002,1.864,62628.9,False
8192,8192,8192,510,14,1099.512,92.26854451497395,65.07436363636364,6.004,11916.4,False
8192,8192,8192,510,27,1099.512,42.64738210042318,81.55490909090912,3.478,25781.5,False
8192,8192,8192,510,54,1099.512,20.61346181233724,97.68654545454547,2.014,53339.5,False
8192,8192,8192,510,81,1099.512,14.115669250488281,116.99563636363634,1.651,77893.0,False
8192,8192,8192,510,108,1099.512,10.338303883870443,143.71550000000002,1.486,106353.2,False
8192,8192,8192,705,14,1099.512,66.77060445149739,71.66981818181819,4.785,16467.0,False
8192,8192,8192,705,27,1099.512,30.87291717529297,89.99136363636366,2.778,35614.1,False
8192,8192,8192,705,54,1099.512,14.921557108561197,108.6799,1.622,73686.1,False
8192,8192,8192,705,81,1099.512,10.22003173828125,143.23229999999998,1.464,107584.0,False
8192,8192,8192,705,108,1099.512,7.485269546508789,177.579,1.329,146890.1,False
8192,8192,8192,900,14,1099.512,52.322306315104164,77.87754545454546,4.075,21014.2,False
